prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,3.1233,2.1384,41.2042,0.8838,base,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,2.4941,2.4221,37.0496,0.8693,base,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,2.2374,1.8047,39.1707,0.8921,base,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_cow_next_to_a_train,a cow next to a train,2.5025,2.4606,41.1695,0.863,base,a_cow_next_to_a_train,a cow next to a train,a_cow_next_to_a_train
a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,2.6399,2.0376,32.8599,0.9087,base,a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,a_cow_on_the_bottom_of_a_man
a_cup_on_the_left_of_a_fish,a cup on the left of a fish,3.757,2.0584,36.0099,0.8563,base,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,a_cup_on_the_left_of_a_fish
a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,3.7402,1.9929,34.8863,0.8349,base,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,a_dog_on_the_top_of_a_suitcase
a_fish_on_side_of_a_painting,a fish on side of a painting,2.7684,2.069,32.1616,0.934,base,a_fish_on_side_of_a_painting,a fish on side of a painting,a_fish_on_side_of_a_painting
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,3.0677,2.6231,37.7052,0.8928,base,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,3.1345,2.2664,36.0247,0.9111,base,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,a_fish_on_the_top_of_a_bowl
a_giraffe_near_a_key,a giraffe near a key,3.4505,1.4829,38.9976,0.9413,base,a_giraffe_near_a_key,a giraffe near a key,a_giraffe_near_a_key
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,2.8106,1.7826,38.0089,0.8328,base,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,2.4073,1.9524,38.7293,0.9211,base,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,3.019,2.3242,37.3965,0.9457,base,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,2.7825,1.5175,37.7798,0.8268,base,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,a_giraffe_on_the_top_of_a_man
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,3.4562,1.9456,33.2648,0.8971,base,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,2.4592,2.5135,37.3238,0.9458,base,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_horse_near_a_lamp,a horse near a lamp,3.143,2.804,39.5383,0.9117,base,a_horse_near_a_lamp,a horse near a lamp,a_horse_near_a_lamp
a_horse_on_the_right_of_a_man,a horse on the right of a man,2.3629,2.4791,34.1225,0.8785,base,a_horse_on_the_right_of_a_man,a horse on the right of a man,a_horse_on_the_right_of_a_man
a_key_on_the_top_of_a_frog,a key on the top of a frog,2.4525,1.6839,38.9164,0.8876,base,a_key_on_the_top_of_a_frog,a key on the top of a frog,a_key_on_the_top_of_a_frog
a_man_on_side_of_a_clock,a man on side of a clock,2.9292,2.3207,33.2227,0.9368,base,a_man_on_side_of_a_clock,a man on side of a clock,a_man_on_side_of_a_clock
a_man_on_the_right_of_a_plate,a man on the right of a plate,3.9276,2.7127,30.6576,0.9467,base,a_man_on_the_right_of_a_plate,a man on the right of a plate,a_man_on_the_right_of_a_plate
a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,2.8509,2.502,40.2205,0.9077,base,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,a_microwave_on_the_bottom_of_a_rabbit
a_mouse_on_the_bottom_of_a_painting,a mouse on the bottom of a painting,2.3559,1.7695,37.8484,0.831,base,a_mouse_on_the_bottom_of_a_painting,a mouse on the bottom of a painting,a_mouse_on_the_bottom_of_a_painting
a_painting_on_the_left_of_a_horse,a painting on the left of a horse,2.5749,2.2793,28.9457,0.9388,base,a_painting_on_the_left_of_a_horse,a painting on the left of a horse,a_painting_on_the_left_of_a_horse
a_painting_on_the_right_of_a_bee,a painting on the right of a bee,3.3864,2.2224,33.6715,0.9544,base,a_painting_on_the_right_of_a_bee,a painting on the right of a bee,a_painting_on_the_right_of_a_bee
a_painting_on_the_right_of_a_woman,a painting on the right of a woman,4.2787,2.4529,31.192,0.9444,base,a_painting_on_the_right_of_a_woman,a painting on the right of a woman,a_painting_on_the_right_of_a_woman
a_person_next_to_a_airplane,a person next to a airplane,3.1779,2.2418,32.1331,0.8758,base,a_person_next_to_a_airplane,a person next to a airplane,a_person_next_to_a_airplane
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,2.3955,2.8992,34.4905,0.8974,base,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,3.6386,2.9214,33.551,0.935,base,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,2.5319,2.2265,38.0757,0.9116,base,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_pig_on_the_right_of_a_computer,a pig on the right of a computer,2.517,3.136,38.406,0.9322,base,a_pig_on_the_right_of_a_computer,a pig on the right of a computer,a_pig_on_the_right_of_a_computer
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,2.4799,1.7326,34.6859,0.8632,base,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_next_to_a_balloon,a rabbit next to a balloon,2.0653,1.6117,36.2568,0.8096,base,a_rabbit_next_to_a_balloon,a rabbit next to a balloon,a_rabbit_next_to_a_balloon
a_rabbit_next_to_a_microwave,a rabbit next to a microwave,2.2322,3.0464,43.9647,0.9182,base,a_rabbit_next_to_a_microwave,a rabbit next to a microwave,a_rabbit_next_to_a_microwave
a_rabbit_on_the_top_of_a_bicycle,a rabbit on the top of a bicycle,2.2954,1.5841,43.2656,0.8378,base,a_rabbit_on_the_top_of_a_bicycle,a rabbit on the top of a bicycle,a_rabbit_on_the_top_of_a_bicycle
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,2.0087,1.7429,39.3985,0.7644,base,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,3.9807,1.948,38.4237,0.9148,base,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,a_refrigerator_on_the_bottom_of_a_dog
a_sheep_near_a_car,a sheep near a car,2.0323,2.5076,40.1345,0.871,base,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_sheep_on_the_top_of_a_airplane,a sheep on the top of a airplane,3.141,1.8427,42.1691,0.8636,base,a_sheep_on_the_top_of_a_airplane,a sheep on the top of a airplane,a_sheep_on_the_top_of_a_airplane
a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,2.6707,1.6772,40.7733,0.7599,base,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,a_sheep_on_the_top_of_a_backpack
a_sofa_on_the_top_of_a_boy,a sofa on the top of a boy,3.0787,2.1759,35.2507,0.8445,base,a_sofa_on_the_top_of_a_boy,a sofa on the top of a boy,a_sofa_on_the_top_of_a_boy
a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,2.6167,2.2978,41.2581,0.8586,base,a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,a_suitcase_on_the_top_of_a_frog
a_television_on_the_left_of_a_cow,a television on the left of a cow,2.8891,3.2173,41.5512,0.8996,base,a_television_on_the_left_of_a_cow,a television on the left of a cow,a_television_on_the_left_of_a_cow
a_television_on_the_left_of_a_fish,a television on the left of a fish,3.1978,3.1996,36.8243,0.8523,base,a_television_on_the_left_of_a_fish,a television on the left of a fish,a_television_on_the_left_of_a_fish
a_television_on_the_right_of_a_cow,a television on the right of a cow,3.0996,3.0152,41.4915,0.8988,base,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,2.6714,2.3076,35.8564,0.8954,base,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_train_on_the_top_of_a_woman,a train on the top of a woman,4.1051,2.1125,32.946,0.8704,base,a_train_on_the_top_of_a_woman,a train on the top of a woman,a_train_on_the_top_of_a_woman
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,2.3886,2.4832,33.31,0.9226,base,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.9724,1.6162,34.142,0.7954,base,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_vase_on_the_left_of_a_pig,a vase on the left of a pig,2.5131,1.7352,37.7774,0.8399,base,a_vase_on_the_left_of_a_pig,a vase on the left of a pig,a_vase_on_the_left_of_a_pig
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,3.2455,1.7935,38.874,0.8041,base,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,3.8866,2.1346,37.8282,0.8431,base,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_wallet_on_the_top_of_a_person,a wallet on the top of a person,3.4049,2.2667,34.0314,0.7508,base,a_wallet_on_the_top_of_a_person,a wallet on the top of a person,a_wallet_on_the_top_of_a_person
a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,2.473,2.2377,35.2651,0.8972,base,a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,a_woman_on_the_left_of_a_sheep
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,2.6314,2.0885,39.1317,0.8928,ourmethod,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,2.932,2.2769,39.3934,0.9231,ourmethod,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,3.6531,2.389,31.7129,0.9446,ourmethod,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,a_bag_on_the_bottom_of_a_chicken
a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,3.1621,2.3109,34.1247,0.9092,ourmethod,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,a_bag_on_the_right_of_a_butterfly
a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,2.6568,1.4052,42.4732,0.6112,ourmethod,a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,a_balloon_on_the_top_of_a_giraffe
a_bee_on_the_left_of_a_girl,a bee on the left of a girl,3.0366,1.9145,34.8592,0.9132,ourmethod,a_bee_on_the_left_of_a_girl,a bee on the left of a girl,a_bee_on_the_left_of_a_girl
a_bee_on_the_left_of_a_phone,a bee on the left of a phone,2.343,2.563,37.2312,0.8608,ourmethod,a_bee_on_the_left_of_a_phone,a bee on the left of a phone,a_bee_on_the_left_of_a_phone
a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,2.3529,1.6448,37.2478,0.7951,ourmethod,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,a_bee_on_the_top_of_a_airplane
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,3.0083,1.7291,38.6553,0.7756,ourmethod,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,2.5489,2.2237,31.5567,0.9657,ourmethod,a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,a_bicycle_on_the_left_of_a_girl
a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,2.7298,1.627,41.4175,0.8521,ourmethod,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,a_bicycle_on_the_top_of_a_chicken
a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,2.5851,3.4503,38.7159,0.9371,ourmethod,a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,a_bird_on_the_bottom_of_a_suitcase
a_bowl_on_the_left_of_a_man,a bowl on the left of a man,4.3708,3.7676,29.8219,0.9261,ourmethod,a_bowl_on_the_left_of_a_man,a bowl on the left of a man,a_bowl_on_the_left_of_a_man
a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,2.7493,2.5549,29.1476,0.9362,ourmethod,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,a_bowl_on_the_right_of_a_chicken
a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,3.7602,4.8432,39.4427,0.8576,ourmethod,a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,a_boy_on_the_bottom_of_a_lamp
a_boy_on_the_top_of_a_bag,a boy on the top of a bag,3.6946,1.9125,37.7421,0.6456,ourmethod,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,a_boy_on_the_top_of_a_bag
a_car_on_the_top_of_a_turtle,a car on the top of a turtle,3.0561,2.1784,35.9672,0.8789,ourmethod,a_car_on_the_top_of_a_turtle,a car on the top of a turtle,a_car_on_the_top_of_a_turtle
a_cat_near_a_table,a cat near a table,2.8099,3.48,35.0739,0.9375,ourmethod,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,2.9146,4.3149,35.8926,0.9337,ourmethod,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_near_a_desk,a chicken near a desk,2.042,3.7067,39.4405,0.9368,ourmethod,a_chicken_near_a_desk,a chicken near a desk,a_chicken_near_a_desk
a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,2.4203,3.7468,38.2015,0.9017,ourmethod,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,a_chicken_on_the_bottom_of_a_desk
a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,3.1256,1.4843,40.905,0.6343,ourmethod,a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,a_chicken_on_the_top_of_a_balloon
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,2.191,1.9545,41.8652,0.913,ourmethod,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,3.7297,4.215,36.6411,0.9404,ourmethod,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,a_computer_on_the_bottom_of_a_horse
a_computer_on_the_left_of_a_pig,a computer on the left of a pig,2.7451,3.1023,37.7448,0.9338,ourmethod,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,a_computer_on_the_left_of_a_pig
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,3.0212,2.3172,42.3505,0.8842,ourmethod,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,2.2312,3.6197,36.4922,0.947,ourmethod,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,2.668,1.6778,39.9571,0.8228,ourmethod,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_cow_next_to_a_train,a cow next to a train,2.475,2.4567,41.6779,0.9433,ourmethod,a_cow_next_to_a_train,a cow next to a train,a_cow_next_to_a_train
a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,2.712,2.8191,32.1949,0.9476,ourmethod,a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,a_cow_on_the_bottom_of_a_man
a_cup_on_the_left_of_a_fish,a cup on the left of a fish,3.4695,2.7206,34.7709,0.8582,ourmethod,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,a_cup_on_the_left_of_a_fish
a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,3.6661,2.518,35.0769,0.8849,ourmethod,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,a_dog_on_the_top_of_a_suitcase
a_fish_on_side_of_a_painting,a fish on side of a painting,2.7942,2.2052,31.821,0.9346,ourmethod,a_fish_on_side_of_a_painting,a fish on side of a painting,a_fish_on_side_of_a_painting
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,2.5433,3.475,37.6928,0.8801,ourmethod,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,2.9908,3.6081,34.7382,0.9093,ourmethod,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,a_fish_on_the_top_of_a_bowl
a_giraffe_near_a_key,a giraffe near a key,3.2851,1.749,39.3708,0.8957,ourmethod,a_giraffe_near_a_key,a giraffe near a key,a_giraffe_near_a_key
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,2.8294,2.7067,38.6094,0.8668,ourmethod,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,2.3729,2.2226,39.1235,0.9368,ourmethod,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,3.1615,2.7628,35.8535,0.9452,ourmethod,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,2.655,1.3917,35.9434,0.5437,ourmethod,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,a_giraffe_on_the_top_of_a_man
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,3.1102,1.9719,32.953,0.9278,ourmethod,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,2.4472,3.1358,36.5121,0.9509,ourmethod,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_horse_near_a_lamp,a horse near a lamp,3.064,5.9536,39.4489,0.8843,ourmethod,a_horse_near_a_lamp,a horse near a lamp,a_horse_near_a_lamp
a_horse_on_the_right_of_a_man,a horse on the right of a man,2.4375,2.8061,33.2955,0.8707,ourmethod,a_horse_on_the_right_of_a_man,a horse on the right of a man,a_horse_on_the_right_of_a_man
a_key_on_the_top_of_a_frog,a key on the top of a frog,2.4766,2.4754,36.9392,0.8761,ourmethod,a_key_on_the_top_of_a_frog,a key on the top of a frog,a_key_on_the_top_of_a_frog
a_man_on_side_of_a_clock,a man on side of a clock,2.7328,2.8754,34.6908,0.9456,ourmethod,a_man_on_side_of_a_clock,a man on side of a clock,a_man_on_side_of_a_clock
a_man_on_the_right_of_a_plate,a man on the right of a plate,4.1367,3.5369,28.7027,0.9178,ourmethod,a_man_on_the_right_of_a_plate,a man on the right of a plate,a_man_on_the_right_of_a_plate
a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,2.5189,2.7779,40.8484,0.8873,ourmethod,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,a_microwave_on_the_bottom_of_a_rabbit
a_mouse_on_the_bottom_of_a_painting,a mouse on the bottom of a painting,3.1245,2.3094,39.8309,0.918,ourmethod,a_mouse_on_the_bottom_of_a_painting,a mouse on the bottom of a painting,a_mouse_on_the_bottom_of_a_painting
a_painting_on_the_left_of_a_horse,a painting on the left of a horse,2.7163,2.2426,29.2346,0.9617,ourmethod,a_painting_on_the_left_of_a_horse,a painting on the left of a horse,a_painting_on_the_left_of_a_horse
a_painting_on_the_right_of_a_bee,a painting on the right of a bee,3.0867,2.0133,32.888,0.9009,ourmethod,a_painting_on_the_right_of_a_bee,a painting on the right of a bee,a_painting_on_the_right_of_a_bee
a_painting_on_the_right_of_a_woman,a painting on the right of a woman,3.8806,2.5454,32.1011,0.9393,ourmethod,a_painting_on_the_right_of_a_woman,a painting on the right of a woman,a_painting_on_the_right_of_a_woman
a_person_next_to_a_airplane,a person next to a airplane,3.6443,2.4072,31.578,0.9072,ourmethod,a_person_next_to_a_airplane,a person next to a airplane,a_person_next_to_a_airplane
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,2.1664,3.1494,33.4034,0.8813,ourmethod,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,3.7756,3.2054,33.4783,0.915,ourmethod,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,2.3873,2.4059,38.0631,0.9112,ourmethod,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
