prompt_key,prompt_folder,prompt_text,vendi_inception__apg,vendi_inception__base,vendi_inception__cads,vendi_inception__dpp,vendi_inception__mix,vendi_inception__ourmethod,vendi_inception__pg,vendi_pixel__apg,vendi_pixel__base,vendi_pixel__cads,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__ourmethod,vendi_pixel__pg,clip_score__apg,clip_score__base,clip_score__cads,clip_score__dpp,clip_score__mix,clip_score__ourmethod,clip_score__pg,one_minus_ms_ssim__apg,one_minus_ms_ssim__base,one_minus_ms_ssim__cads,one_minus_ms_ssim__dpp,one_minus_ms_ssim__mix,one_minus_ms_ssim__ourmethod,one_minus_ms_ssim__pg
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,2.1447,2.1587,2.147,2.4656,2.2046,2.0863,2.1001,1.5544,1.5546,1.5649,1.7138,1.6785,1.5801,1.5032,41.387,41.3142,42.0155,41.4353,40.592,41.8489,41.4508,0.8593,0.8596,0.8513,0.9516,0.9287,0.8487,0.8368
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,2.2169,2.2122,2.163,1.6975,2.0552,2.4134,2.1022,1.5999,1.6002,1.6029,1.6947,1.696,1.6033,1.5447,39.2429,39.204,38.8562,39.4901,38.7437,34.1948,39.7364,0.9332,0.933,0.9313,0.9499,0.9745,0.9532,0.9316
a_cat_near_a_table,a_cat_near_a_table,a cat near a table,1.7249,1.803,1.7095,1.7734,2.0086,1.8718,1.7164,1.8623,1.8622,1.8779,2.1164,2.0517,1.8853,1.7876,34.2666,34.2559,33.5514,35.7404,34.026,35.5592,33.9125,0.973,0.9786,0.9551,0.9261,0.9908,0.9746,0.9343
a_cat_on_the_bottom_of_a_car,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7393,1.7422,1.7502,1.7402,1.7177,1.7582,1.7049,2.1469,2.1465,2.165,2.2102,2.2864,2.2176,2.0748,35.7329,35.7957,35.7882,36.0037,34.9783,35.8435,36.1947,0.9099,0.9096,0.9085,0.9332,0.9578,0.9024,0.8738
a_chicken_on_the_top_of_a_bicycle,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4195,1.4275,1.4301,1.7169,1.605,1.6959,1.44,1.4276,1.4275,1.4235,1.4046,1.5458,1.4527,1.38,43.5378,43.666,43.1613,42.683,41.7308,42.2904,43.3115,0.8697,0.871,0.8643,0.9092,0.915,0.8995,0.8422
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.2153,2.216,2.2171,2.2045,2.1506,2.0423,2.2126,2.0824,2.0834,2.0908,2.059,2.2006,2.0631,1.9883,38.0828,38.2512,38.6805,36.8475,36.7776,38.6255,38.4242,0.9116,0.9105,0.9106,0.8968,0.9439,0.9439,0.8827
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.7851,1.7656,1.8452,1.9494,1.9515,1.5976,1.9402,1.5587,1.5595,1.5516,1.957,1.7003,1.5435,1.4976,38.4109,38.1884,37.5108,36.7085,38.4579,38.2582,37.8236,0.8385,0.8393,0.8131,0.9333,0.9167,0.8371,0.8302
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7222,1.7265,1.8644,2.0075,1.883,1.7442,1.775,1.5044,1.5043,1.508,1.4867,1.5916,1.5427,1.4511,41.2897,41.3433,40.7006,39.5688,38.6983,41.628,41.6376,0.7378,0.7374,0.7349,0.9295,0.8688,0.767,0.6944
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.4489,1.4513,1.5553,1.7906,1.6579,1.5544,1.5198,2.0473,2.0482,2.0418,2.2113,2.1126,2.1232,1.9517,37.6748,37.6949,37.3245,35.3044,34.4038,35.8298,37.6219,0.9456,0.9479,0.9434,0.973,0.9665,0.9598,0.9237
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,1.808,1.8218,1.644,1.7366,1.9147,1.6607,1.8244,1.4229,1.4235,1.4308,1.3309,1.4688,1.4456,1.3846,39.6164,39.5238,40.0311,40.0036,40.0946,39.5828,40.9329,0.7447,0.7461,0.7443,0.7436,0.9054,0.7863,0.7027
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,2.116,2.1297,2.1423,1.6929,2.4813,2.3261,2.2169,1.5722,1.5722,1.5741,1.3698,1.7385,1.5598,1.4987,36.5251,36.3585,36.3537,35.4032,35.3885,33.7805,36.4184,0.8086,0.8088,0.8027,0.8858,0.9092,0.8456,0.7826
a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,2.0765,2.0722,1.9865,2.0951,2.1294,1.9861,2.0833,1.6685,1.6685,1.6833,1.503,1.7529,1.6511,1.5902,35.7441,35.7142,35.7187,35.1702,35.3235,35.3452,35.2414,0.8519,0.8526,0.8486,0.7659,0.9084,0.8332,0.8329
a_fish_on_the_left_of_a_microwave,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.5765,1.5621,1.5693,2.5726,1.9782,1.6421,1.614,1.862,1.8625,1.8637,2.2201,2.0241,1.9353,1.8126,38.9613,38.9168,38.6814,33.6524,37.9962,38.6864,38.2817,0.923,0.9224,0.927,0.8906,0.9239,0.8927,0.8963
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,2.1584,2.1615,2.1765,1.5708,2.2343,1.9551,2.1716,2.217,2.2173,2.214,2.183,2.2418,2.2739,2.1401,35.5331,35.4981,35.1935,34.9696,34.7247,35.2784,34.9376,0.9357,0.9357,0.9317,0.9435,0.9764,0.9265,0.9291
a_giraffe_on_the_left_of_a_lamp,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.8874,1.8838,1.8989,1.82,2.085,1.9007,1.9466,1.6381,1.6389,1.6491,1.8124,1.5567,1.6536,1.5896,38.3747,38.3844,38.6432,36.7658,39.0673,39.0655,38.026,0.868,0.8682,0.8914,0.8627,0.8305,0.8393,0.8511
a_giraffe_on_the_right_of_a_girl,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.734,1.7343,1.6614,1.7075,1.9779,1.958,1.6735,1.5098,1.5098,1.5215,1.4632,1.5832,1.4897,1.4605,39.3668,39.4051,39.2738,40.4334,37.9759,38.8931,39.1002,0.9392,0.9411,0.9442,0.919,0.9679,0.928,0.927
a_giraffe_on_the_right_of_a_phone,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9553,1.9554,1.9212,1.9448,2.1194,1.9038,1.7707,1.6633,1.6635,1.6722,1.8663,1.7179,1.6945,1.6096,34.4485,34.7071,34.2665,34.6465,36.1926,38.0182,35.1135,0.9446,0.9448,0.9449,0.8881,0.9763,0.9264,0.9363
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,1.8797,1.8788,1.8679,1.8073,1.9963,1.8676,1.9022,1.2367,1.2367,1.2364,1.1582,1.2656,1.2406,1.2191,31.8466,31.8147,32.1636,38.8415,32.6367,31.3979,34.4536,0.6979,0.6976,0.6369,0.6187,0.7207,0.6085,0.6888
a_girl_on_the_left_of_a_bee,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.3351,2.3412,2.462,2.2239,2.4788,2.5813,2.5771,1.464,1.464,1.4879,1.5065,1.582,1.5479,1.4088,32.9251,32.8802,33.4994,33.49,35.007,34.092,34.2709,0.942,0.942,0.9455,0.9465,0.9575,0.9432,0.9079
a_girl_on_the_left_of_a_frog,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.9091,1.8605,2.0507,1.7947,2.1487,1.8484,1.9058,1.7274,1.7277,1.7329,2.239,1.9541,1.7328,1.6577,37.0756,37.2197,37.2163,36.8976,36.9348,38.2566,36.792,0.9425,0.9425,0.9495,0.9647,0.9733,0.9594,0.9316
a_gold_car_and_a_red_clock,a_gold_car_and_a_red_clock,a gold car and a red clock,1.822,1.8523,1.7752,1.9551,2.0672,2.0051,1.7281,1.7956,1.7965,1.7948,1.762,1.8816,1.7715,1.7328,41.5133,41.3941,40.8641,38.0619,40.093,39.0839,41.952,0.8864,0.8787,0.8856,0.9351,0.9185,0.9058,0.8116
a_green_bench_and_a_blue_car,a_green_bench_and_a_blue_car,a green bench and a blue car,2.1661,2.1892,2.2248,1.9874,1.8093,2.0103,2.1175,1.8939,1.8933,1.9101,1.835,2.0557,1.9245,1.8367,37.848,37.8597,38.1535,35.8534,38.082,39.6097,37.968,0.9124,0.9123,0.913,0.9199,0.9686,0.9242,0.8665
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,2.1279,2.1257,2.0153,2.1837,1.9212,1.8477,2.0383,1.7691,1.7692,1.7702,1.7154,1.9753,1.8001,1.713,38.264,38.2455,38.0889,37.9174,38.2758,39.3793,38.7296,0.9172,0.9173,0.9112,0.9142,0.9715,0.8894,0.8898
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,2.1298,2.1301,2.0801,2.1873,2.0461,1.993,2.056,2.1537,2.1532,2.1654,1.9498,2.2806,2.1479,2.0539,42.3198,42.2235,41.8212,38.3875,39.6517,40.5704,42.4566,0.9137,0.9137,0.911,0.9719,0.97,0.9294,0.8409
a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,1.9167,1.9074,2.0082,1.9348,1.9592,1.8259,1.9561,1.7693,1.7695,1.7755,1.9435,1.8651,1.8532,1.7147,37.5101,37.543,37.6423,36.1948,36.6534,36.6526,37.2233,0.9035,0.9036,0.8967,0.9397,0.9446,0.9214,0.8705
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,2.333,2.3271,2.263,2.1354,2.5855,2.4117,2.4732,1.8741,1.8743,1.8848,2.1359,2.0846,1.9447,1.7942,27.8303,27.8219,29.1919,29.3856,25.5259,24.7786,29.2401,0.9357,0.9359,0.9173,0.9716,0.9718,0.939,0.9127
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,1.6958,1.6867,1.7677,1.7377,1.883,1.7418,1.7231,1.7841,1.7831,1.7806,1.6961,1.8058,1.8219,1.7288,41.403,41.3788,41.615,41.0261,41.6803,43.2448,41.7677,0.915,0.914,0.9143,0.9113,0.9086,0.8758,0.8759
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5569,1.5591,1.6591,1.7216,1.6715,1.5429,1.5403,1.8168,1.8163,1.8186,2.079,1.9618,1.813,1.7431,34.5477,34.5826,34.1765,33.3069,32.9732,34.1903,34.8784,0.8906,0.8907,0.8933,0.914,0.9382,0.8742,0.8592
a_phone_on_the_left_of_a_boy,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.4025,2.3834,2.2785,2.2891,2.0305,2.1957,2.3569,1.8191,1.819,1.8258,1.8358,1.8939,1.8296,1.7193,32.6118,32.4023,33.8166,32.1627,33.9975,34.9548,30.6168,0.9207,0.9205,0.9203,0.8601,0.9588,0.9257,0.9017
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.7025,1.6557,1.6701,1.5987,2.0002,1.6657,1.7699,1.6131,1.6156,1.6196,1.9917,1.7227,1.6322,1.5758,37.9257,38.0171,39.2694,39.2782,36.0926,37.1958,36.4806,0.8289,0.8343,0.8331,0.8647,0.9091,0.8491,0.8343
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,2.1414,2.1548,2.0417,2.0309,2.0616,2.2007,1.905,1.3988,1.3987,1.3996,1.3858,1.4591,1.3641,1.3698,41.7738,41.8319,42.0924,43.4435,40.2105,42.5088,42.0084,0.9113,0.9117,0.9104,0.8024,0.9409,0.8566,0.9135
a_plate_on_the_right_of_a_bee,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.8111,1.8148,1.7741,1.6202,1.9754,1.8094,1.6628,1.3998,1.3999,1.4129,1.1831,1.434,1.4433,1.3699,34.9962,34.995,35.4444,34.7395,35.6855,35.3569,35.3469,0.9294,0.9296,0.9244,0.7226,0.9528,0.9558,0.8692
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5171,1.5203,1.5369,1.4756,1.5362,1.6749,1.5253,1.5598,1.5607,1.5582,1.9264,1.6372,1.5438,1.4974,39.2294,39.4434,39.1728,39.9886,38.7441,39.6834,39.2233,0.909,0.909,0.9092,0.8299,0.9453,0.8587,0.9015
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,2.1405,2.1377,2.1506,1.9229,2.049,2.0594,2.0155,2.0971,2.0979,2.1043,2.0876,2.1399,2.0715,1.9936,38.4585,38.2234,38.7262,38.912,39.5262,37.8901,38.8226,0.9413,0.9433,0.9302,0.9557,0.9724,0.9324,0.9216
a_red_car_and_a_brown_clock,a_red_car_and_a_brown_clock,a red car and a brown clock,1.9997,1.9576,2.001,2.0755,1.9739,1.9156,1.9443,1.5734,1.5735,1.5972,1.4845,1.7688,1.6836,1.5471,35.8263,35.6859,35.8861,39.833,37.2614,38.0035,39.0684,0.9197,0.9202,0.9128,0.8816,0.9664,0.8974,0.9197
a_red_car_and_a_brown_elephant,a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.8633,1.8698,1.8323,1.7427,2.1564,2.0258,1.8292,1.5376,1.5374,1.5473,1.5013,1.6758,1.5841,1.4905,41.3013,41.3413,41.1861,40.0324,41.6206,42.7907,41.0803,0.8505,0.8507,0.8555,0.8858,0.9279,0.9126,0.8133
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,1.8916,1.9236,1.9547,2.1382,1.801,1.8293,2.0229,1.8816,1.8805,1.8988,2.2627,2.0201,1.8506,1.8164,40.9003,40.7944,40.7332,40.0485,40.0627,40.602,40.3364,0.9327,0.9333,0.9356,0.9502,0.9393,0.9453,0.9189
a_red_car_and_a_pink_elephant,a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.2294,2.214,2.1721,1.8725,2.0683,2.1939,2.2606,1.3479,1.3488,1.3533,1.5182,1.4278,1.3991,1.3213,40.6067,40.6408,40.6979,42.0642,41.7171,40.8868,40.3782,0.8841,0.8853,0.8813,0.764,0.8599,0.9336,0.8685
a_sheep_near_a_car,a_sheep_near_a_car,a sheep near a car,1.5057,1.5141,1.4786,1.7028,1.5389,1.6574,1.5736,1.702,1.7017,1.7133,1.9967,1.894,1.835,1.6293,39.5729,39.5185,39.285,39.5027,39.0925,39.6351,40.1247,0.8882,0.8881,0.8848,0.8983,0.9513,0.9584,0.8482
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1.9422,1.9396,1.8272,1.9601,1.9587,1.7572,1.8313,1.4278,1.4277,1.4357,1.468,1.4904,1.4595,1.3753,40.7214,40.81,39.0409,39.7441,38.5807,41.7368,40.1067,0.8219,0.8211,0.8256,0.8414,0.8703,0.8449,0.7991
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,1.8143,1.8874,1.914,1.7889,1.9354,1.9913,1.7655,2.2904,2.2881,2.3257,2.3981,2.5495,2.401,2.2016,42.8699,42.9309,42.896,43.1405,44.0652,42.7696,42.7066,0.9582,0.9574,0.9453,0.8091,0.9613,0.9485,0.9424
a_train_on_the_left_of_a_boy,a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6893,1.6833,1.6207,1.7745,2.243,1.8302,1.7485,1.6759,1.6759,1.6732,1.5977,1.8709,1.7439,1.6069,36.6123,36.5542,36.9029,36.8981,35.9859,36.0056,36.9276,0.8905,0.8905,0.8963,0.8117,0.9688,0.9314,0.8452
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4464,1.4508,1.4631,1.7167,1.9241,1.4959,1.4293,1.6431,1.6436,1.6511,1.7749,1.8426,1.8321,1.5662,33.6642,33.6823,33.9572,32.4851,33.057,32.8878,32.9967,0.9295,0.9294,0.9254,0.9363,0.9729,0.9474,0.873
a_vase_on_the_bottom_of_a_chicken,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.0095,2.0298,1.8829,1.6365,2.1039,1.8972,2.0008,1.5325,1.5327,1.5443,1.8913,1.6882,1.5773,1.4781,34.0102,33.9301,34.5991,30.876,34.2419,33.6937,34.0638,0.8995,0.8997,0.9104,0.8363,0.9259,0.9485,0.8903
a_wallet_on_the_right_of_a_bee,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.3134,2.3082,2.3581,2.0267,2.411,2.2468,1.9475,1.6983,1.698,1.7062,1.7165,1.8542,1.79,1.6252,35.0835,35.0552,37.2936,40.3306,37.9052,36.0507,37.2993,0.8549,0.8552,0.8405,0.8786,0.9366,0.8419,0.8009
a_wallet_on_the_right_of_a_dog,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.2358,2.256,2.1823,2.1568,2.4685,2.3132,2.128,1.7143,1.7146,1.7129,1.7734,1.7029,1.7025,1.6573,36.1475,36.1372,35.2696,36.3675,34.1723,39.2567,36.1378,0.8768,0.877,0.879,0.9537,0.9198,0.8923,0.8425
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0572,2.0488,1.9744,2.0727,1.8865,2.0337,2.0607,1.9934,1.9856,1.9658,2.2095,2.1061,1.9816,1.9112,41.9025,41.9181,41.8755,40.8985,38.0494,40.2836,42.1595,0.9161,0.9151,0.9131,0.9323,0.955,0.9273,0.8925
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,1.8132,1.8094,1.9676,1.8697,1.8005,1.9028,1.9627,1.451,1.4505,1.4518,1.5261,1.4998,1.422,1.4123,34.5644,34.4044,34.1525,33.8809,32.8461,33.9201,34.5194,0.8951,0.8961,0.9197,0.8509,0.904,0.8496,0.8583
the_black_chair_was_next_to_the_silver_table,The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.779,1.8019,1.729,2.0505,1.8952,1.7589,1.7184,1.6653,1.6676,1.6493,2.0673,1.6684,1.7058,1.6005,32.9163,32.3593,32.0482,33.0028,32.7158,33.0251,32.9512,0.9261,0.9265,0.9279,0.9533,0.9401,0.9395,0.9246
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.9015,1.866,1.8111,2.1005,2.1588,1.9432,1.7632,1.7762,1.7766,1.7843,2.1041,1.7572,1.7911,1.7025,32.1884,32.1229,31.6225,30.0974,29.5987,32.0869,31.8468,0.8796,0.8802,0.8787,0.9085,0.952,0.9459,0.8613
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.9079,1.8942,1.9979,2.0997,2.099,1.8185,1.9146,1.7556,1.7561,1.7232,1.7086,1.8105,1.7648,1.69,36.7305,36.7571,37.7828,32.8524,35.7154,35.9465,36.7087,0.688,0.689,0.6576,0.748,0.8126,0.6786,0.6671
the_brown_cat_was_lying_on_the_blue_blanket,The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4782,1.4793,1.4804,1.5964,1.5621,1.5899,1.4976,1.6305,1.6301,1.6319,1.6803,1.6795,1.6531,1.5698,37.2232,37.238,37.0331,37.267,33.3279,37.5316,36.9538,0.9369,0.9369,0.9402,0.945,0.9462,0.9398,0.9099
the_brown_dog_is_lying_on_the_blue_pillow,The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.8365,1.8615,1.8458,2.0781,2.0748,1.9529,1.7959,1.7646,1.7654,1.7675,1.6765,1.8434,1.77,1.6919,39.0683,38.9874,38.6022,37.7179,34.109,36.9838,37.9975,0.8928,0.8923,0.8931,0.8042,0.9382,0.9094,0.8927
the_brown_dog_was_lying_on_the_green_bed,The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2061,2.2156,2.3704,1.7965,2.3781,2.2731,2.2003,1.6009,1.6001,1.6109,1.6422,1.6967,1.6496,1.5171,36.1645,36.3977,36.4505,34.8351,36.9435,36.1904,35.7831,0.9239,0.9228,0.9239,0.8612,0.9306,0.9291,0.8722
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,2.2181,2.2566,2.2471,2.4417,2.0601,2.2057,2.4096,1.4441,1.4444,1.4553,1.6729,1.4431,1.3937,1.4177,35.2103,35.1801,34.595,34.2737,34.0653,35.287,33.9218,0.6878,0.6876,0.6932,0.8227,0.7363,0.6084,0.6806
the_green_plant_was_on_top_of_the_brown_nightstand,The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9644,1.9585,1.8505,1.8627,1.9443,1.9678,1.8211,1.3986,1.3982,1.4142,1.2821,1.5295,1.3993,1.3334,36.8285,36.7351,36.7595,34.003,36.2359,36.743,37.0891,0.6872,0.6869,0.6962,0.6155,0.8823,0.7376,0.6313
the_green_plant_was_on_top_of_the_white_dresser,The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.7699,1.8139,1.907,1.912,1.6855,1.9443,1.9135,1.2228,1.2235,1.2319,1.2556,1.2722,1.2509,1.1898,38.4895,37.7578,38.6678,37.085,37.6161,39.3805,38.7538,0.7754,0.7788,0.7771,0.7852,0.8497,0.7943,0.7325
the_rectangular_mirror_was_hung_above_the_black_sink,The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8475,1.8609,1.8187,1.9341,2.0162,1.8531,1.895,1.3793,1.3802,1.3959,1.4315,1.4113,1.4213,1.3488,33.7727,33.9879,34.1951,33.6285,33.6026,33.6087,33.4978,0.761,0.7636,0.7666,0.7789,0.8569,0.7644,0.7244
