prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.824,1.6965,29.2407,0.973,base,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,a_bowl_on_the_right_of_a_chicken
a_boy_on_the_top_of_a_bag,a boy on the top of a bag,2.2694,1.3704,37.5543,0.6528,base,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,a_boy_on_the_top_of_a_bag
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.95,1.5955,38.7289,0.9008,base,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.7999,1.7315,41.654,0.9386,base,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_brown_car_and_a_red_elephant,a brown car and a red elephant,2.1587,1.5546,41.3142,0.8596,base,a_brown_car_and_a_red_elephant,a brown car and a red elephant,a_brown_car_and_a_red_elephant
a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,2.2122,1.6002,39.204,0.933,base,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,a_brown_dog_and_a_blue_horse
a_cat_near_a_table,a cat near a table,1.803,1.8622,34.2559,0.9786,base,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7422,2.1465,35.7957,0.9096,base,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4275,1.4275,43.666,0.871,base,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.216,2.0834,38.2512,0.9105,base,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,a_computer_on_the_bottom_of_a_horse
a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.7656,1.5595,38.1884,0.8393,base,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,a_computer_on_the_left_of_a_pig
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7265,1.5043,41.3433,0.7374,base,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.4513,2.0482,37.6949,0.9479,base,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.8218,1.4235,39.5238,0.7461,base,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_cup_on_the_left_of_a_fish,a cup on the left of a fish,2.1297,1.5722,36.3585,0.8088,base,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,a_cup_on_the_left_of_a_fish
a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,2.0722,1.6685,35.7142,0.8526,base,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,a_dog_on_the_top_of_a_suitcase
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.5621,1.8625,38.9168,0.9224,base,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,2.1615,2.2173,35.4981,0.9357,base,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,a_fish_on_the_top_of_a_bowl
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.8838,1.6389,38.3844,0.8682,base,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.7343,1.5098,39.4051,0.9411,base,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9554,1.6635,34.7071,0.9448,base,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,1.8788,1.2367,31.8147,0.6976,base,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,a_giraffe_on_the_top_of_a_man
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.3412,1.464,32.8802,0.942,base,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.8605,1.7277,37.2197,0.9425,base,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,1.8523,1.7965,41.3941,0.8787,base,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,2.1892,1.8933,37.8597,0.9123,base,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_green_bench_and_a_brown_dog,a green bench and a brown dog,2.1257,1.7692,38.2455,0.9173,base,a_green_bench_and_a_brown_dog,a green bench and a brown dog,a_green_bench_and_a_brown_dog
a_green_bench_and_a_red_car,a green bench and a red car,2.1301,2.1532,42.2235,0.9137,base,a_green_bench_and_a_red_car,a green bench and a red car,a_green_bench_and_a_red_car
a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,1.9074,1.7695,37.543,0.9036,base,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,a_green_bench_and_a_yellow_dog
a_man_on_the_right_of_a_plate,a man on the right of a plate,2.3271,1.8743,27.8219,0.9359,base,a_man_on_the_right_of_a_plate,a man on the right of a plate,a_man_on_the_right_of_a_plate
a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,1.6867,1.7831,41.3788,0.914,base,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,a_microwave_on_the_bottom_of_a_rabbit
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5591,1.8163,34.5826,0.8907,base,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.3834,1.819,32.4023,0.9205,base,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.6557,1.6156,38.0171,0.8343,base,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_pink_car_and_a_red_elephant,a pink car and a red elephant,2.1548,1.3987,41.8319,0.9117,base,a_pink_car_and_a_red_elephant,a pink car and a red elephant,a_pink_car_and_a_red_elephant
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.8148,1.3999,34.995,0.9296,base,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5203,1.5607,39.4434,0.909,base,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_bench_and_a_green_car,a red bench and a green car,2.1377,2.0979,38.2234,0.9433,base,a_red_bench_and_a_green_car,a red bench and a green car,a_red_bench_and_a_green_car
a_red_car_and_a_brown_clock,a red car and a brown clock,1.9576,1.5735,35.6859,0.9202,base,a_red_car_and_a_brown_clock,a red car and a brown clock,a_red_car_and_a_brown_clock
a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.8698,1.5374,41.3413,0.8507,base,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,1.9236,1.8805,40.7944,0.9333,base,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.214,1.3488,40.6408,0.8853,base,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.5141,1.7017,39.5185,0.8881,base,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1.9396,1.4277,40.81,0.8211,base,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,a_sheep_on_the_top_of_a_backpack
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.8874,2.2881,42.9309,0.9574,base,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6833,1.6759,36.5542,0.8905,base,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4508,1.6436,33.6823,0.9294,base,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.0298,1.5327,33.9301,0.8997,base,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.3082,1.698,35.0552,0.8552,base,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.256,1.7146,36.1372,0.877,base,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0488,1.9856,41.9181,0.9151,base,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,1.9028,1.422,33.9201,0.8496,ourmethod,the_black_chair_is_on_the_right_of_the_silver_desk,the black chair is on the right of the silver desk,the_black_chair_is_on_the_right_of_the_silver_desk
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.7589,1.7058,33.0251,0.9395,ourmethod,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.9432,1.7911,32.0869,0.9459,ourmethod,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.8185,1.7648,35.9465,0.6786,ourmethod,the_black_phone_was_resting_on_the_brown_charger,the black phone was resting on the brown charger,the_black_phone_was_resting_on_the_brown_charger
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.5899,1.6531,37.5316,0.9398,ourmethod,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.9529,1.77,36.9838,0.9094,ourmethod,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2731,1.6496,36.1904,0.9291,ourmethod,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,2.2057,1.3937,35.287,0.6084,ourmethod,the_green_plant_was_on_the_right_the_white_wall,the green plant was on the right the white wall,the_green_plant_was_on_the_right_the_white_wall
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9678,1.3993,36.743,0.7376,ourmethod,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.9443,1.2509,39.3805,0.7943,ourmethod,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8531,1.4213,33.6087,0.7644,ourmethod,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,1.9101,1.2858,35.267,0.8075,ourmethod,the_rectangular_mirror_was_hung_above_the_blue_sink,the rectangular mirror was hung above the blue sink,the_rectangular_mirror_was_hung_above_the_blue_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,1.954,1.2539,31.7267,0.7017,ourmethod,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4635,1.5773,39.1653,0.6939,ourmethod,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,1.3366,1.637,38.0973,0.7426,ourmethod,the_red_apple_was_on_top_of_the_white_plate,the red apple was on top of the white plate,the_red_apple_was_on_top_of_the_white_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.9494,1.553,38.73,0.8216,ourmethod,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5621,1.4912,42.1276,0.6729,ourmethod,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.7378,1.4336,39.4751,0.8627,ourmethod,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,1.7412,2.3808,31.7361,0.8584,ourmethod,the_silver_laptop_was_on_top_of_the_black_desk,the silver laptop was on top of the black desk,the_silver_laptop_was_on_top_of_the_black_desk
The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1.7823,1.6539,38.9765,0.8845,ourmethod,the_wooden_spoon_was_next_to_the_green_bowl,the wooden spoon was next to the green bowl,the_wooden_spoon_was_next_to_the_green_bowl
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.7323,1.3907,40.2747,0.8641,ourmethod,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,2.0606,1.5959,41.2003,0.9026,ourmethod,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,2.0696,1.6824,31.7003,0.9681,ourmethod,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,a_bag_on_the_bottom_of_a_chicken
a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,2.2503,1.5862,34.6025,0.8712,ourmethod,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,a_bag_on_the_right_of_a_butterfly
a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,1.6704,1.2802,35.9132,0.5292,ourmethod,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,a_bee_on_the_top_of_a_airplane
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,2.0263,1.3041,38.5284,0.794,ourmethod,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1.9881,1.3004,42.488,0.8018,ourmethod,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,a_bicycle_on_the_top_of_a_chicken
a_blue_bench_and_a_green_car,a blue bench and a green car,2.287,1.8916,35.9383,0.9283,ourmethod,a_blue_bench_and_a_green_car,a blue bench and a green car,a_blue_bench_and_a_green_car
a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,2.2703,1.733,40.5515,0.9156,ourmethod,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,a_blue_dog_and_a_brown_horse
a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.75,1.6505,28.9142,0.955,ourmethod,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,a_bowl_on_the_right_of_a_chicken
a_boy_on_the_top_of_a_bag,a boy on the top of a bag,2.2256,1.366,34.9788,0.6584,ourmethod,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,a_boy_on_the_top_of_a_bag
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.9684,1.6641,40.5474,0.9138,ourmethod,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.9051,1.7253,41.6996,0.9149,ourmethod,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_brown_car_and_a_red_elephant,a brown car and a red elephant,2.0863,1.5801,41.8489,0.8487,ourmethod,a_brown_car_and_a_red_elephant,a brown car and a red elephant,a_brown_car_and_a_red_elephant
a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,2.4134,1.6033,34.1948,0.9532,ourmethod,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,a_brown_dog_and_a_blue_horse
a_cat_near_a_table,a cat near a table,1.8718,1.8853,35.5592,0.9746,ourmethod,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7582,2.2176,35.8435,0.9024,ourmethod,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.6959,1.4527,42.2904,0.8995,ourmethod,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.0423,2.0631,38.6255,0.9439,ourmethod,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,a_computer_on_the_bottom_of_a_horse
a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.5976,1.5435,38.2582,0.8371,ourmethod,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,a_computer_on_the_left_of_a_pig
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7442,1.5427,41.628,0.767,ourmethod,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.5544,2.1232,35.8298,0.9598,ourmethod,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.6607,1.4456,39.5828,0.7863,ourmethod,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_cup_on_the_left_of_a_fish,a cup on the left of a fish,2.3261,1.5598,33.7805,0.8456,ourmethod,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,a_cup_on_the_left_of_a_fish
a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,1.9861,1.6511,35.3452,0.8332,ourmethod,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,a_dog_on_the_top_of_a_suitcase
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.6421,1.9353,38.6864,0.8927,ourmethod,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,1.9551,2.2739,35.2784,0.9265,ourmethod,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,a_fish_on_the_top_of_a_bowl
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.9007,1.6536,39.0655,0.8393,ourmethod,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
